Unnamed: 0,Date,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
32,2015-05-17,13045.36,7163.2,5530.28,0.0,351.88,351.88,0.0,0.0,organic,2015,Sacramento
20,2016-08-07,22282.57,12876.46,2651.64,8.06,6746.41,6538.45,207.96,0.0,organic,2016,Denver
35,2015-04-26,435990.48,235664.26,141949.05,14634.32,43742.85,37689.45,6053.4,0.0,conventional,2015,SanDiego
11,2016-10-09,219089.52,43010.81,111487.02,218.09,64373.6,63388.04,985.56,0.0,conventional,2016,HarrisburgScranton
21,2016-07-31,7431.86,666.13,3284.48,14.18,3467.07,3467.07,0.0,0.0,organic,2016,Philadelphia
34,2017-05-07,221289.76,55938.36,55664.31,124.64,109562.45,106593.49,2951.72,17.24,conventional,2017,Roanoke
29,2017-06-11,218540.28,107489.08,23109.92,141.95,87799.33,74772.49,10764.96,2261.88,conventional,2017,Nashville
22,2015-07-26,28284.23,9085.94,2619.52,21.94,16556.83,248.46,16308.37,0.0,organic,2015,Denver
11,2015-10-11,492276.73,202263.25,234833.71,17638.39,37541.38,35490.61,2050.77,0.0,conventional,2015,SanDiego
48,2015-01-25,713523.24,127276.45,481792.41,21293.67,83160.71,82293.47,796.67,70.57,conventional,2015,SanFrancisco
50,2015-01-11,2390.22,155.92,969.82,832.7,431.78,431.78,0.0,0.0,organic,2015,Charlotte
24,2015-07-12,1338282.24,22742.33,956051.1,5130.14,354358.67,306199.58,47542.37,616.72,conventional,2015,NewYork
38,2015-04-05,9356.12,4828.61,3641.12,0.0,886.39,545.4,340.99,0.0,organic,2015,LasVegas
34,2016-05-01,1308614.45,601670.1,368703.63,89821.94,248418.78,84090.2,159461.92,4866.66,conventional,2016,Houston
11,2018-01-07,818086.25,209267.23,466935.74,2525.01,139358.27,136440.18,104.56,2813.53,conventional,2018,SanFrancisco
34,2015-05-03,37257.59,8323.36,21227.82,11.79,7694.62,14.56,7680.06,0.0,organic,2015,Seattle
30,2016-05-29,22983.35,3737.94,16569.88,0.0,2675.53,695.76,1979.77,0.0,organic,2016,LasVegas
31,2015-05-24,657593.22,198187.29,369924.19,18817.6,70664.14,50060.32,20603.82,0.0,conventional,2015,Denver
51,2017-01-08,1890389.78,915300.05,479607.98,5628.26,489853.49,450604.75,32676.07,6572.67,conventional,2017,Plains
47,2015-02-01,40334.59,12927.15,21460.13,35.42,5911.89,406.67,5505.22,0.0,organic,2015,Seattle
12,2016-10-02,2386.34,155.78,710.62,0.0,1519.94,144.76,1375.18,0.0,organic,2016,Spokane
37,2016-04-10,4177.97,1229.11,6.42,0.0,2942.44,2939.11,3.33,0.0,organic,2016,MiamiFtLauderdale
21,2017-08-06,1277419.69,59767.3,821262.42,2432.16,393957.81,358318.64,24812.03,10827.14,conventional,2017,NewYork
25,2017-07-09,7955.6,965.46,11.98,0.0,6978.16,6974.83,3.33,0.0,organic,2017,Pittsburgh
10,2017-10-22,115432.53,26729.27,35118.27,103.84,53481.15,50154.17,3297.64,29.34,conventional,2017,Roanoke
3,2015-12-06,100233.67,18780.0,39234.39,2758.78,39460.5,38946.79,513.71,0.0,conventional,2015,Spokane
45,2017-02-19,563018.6,279494.45,52644.02,133.35,230746.78,171819.03,55459.69,3468.06,conventional,2017,Atlanta
39,2016-03-27,35086.33,171.4,34565.26,0.0,349.67,349.67,0.0,0.0,organic,2016,Chicago
9,2016-10-23,1079.0,20.39,221.94,0.0,836.67,836.67,0.0,0.0,organic,2016,BuffaloRochester
32,2017-05-21,252110.25,155348.21,27177.19,345.91,69238.94,46750.78,10833.16,11655.0,conventional,2017,NewOrleansMobile
41,2017-03-19,10420.76,1187.88,489.0,0.0,8743.88,1218.56,7525.32,0.0,organic,2017,StLouis
37,2017-04-16,342545.94,68514.24,51563.48,38761.83,183706.39,165252.92,3614.14,14839.33,conventional,2017,Detroit
38,2015-04-05,14551.96,8144.98,3199.51,708.11,2499.36,2499.36,0.0,0.0,organic,2015,BaltimoreWashington
